idx,tensor_model_parallel_size,pipeline_model_parallel_size,chunked_prefill_size,page_size,max_running_requests,engine,elapsed_time,start_time,e2e_latency,request_throughput,token_throughput,ttft,itl,topt,threads,split_mode,block_size,max_num_batched_tokens,max_num_seqs
16,4.0,1.0,512.0,32.0,32.0,sglang,69.64,2025-05-22 20:00:03,17337.0,4.65,8442.74,11857.75,6.96,6.92,,,,,
13,4.0,1.0,512.0,16.0,32.0,sglang,70.13,2025-05-22 19:56:40,17839.97,4.62,8367.19,12315.67,7.05,7.08,,,,,
10,4.0,1.0,256.0,32.0,32.0,sglang,77.58,2025-05-22 19:52:51,22889.41,3.63,6513.65,15880.7,9.15,9.76,,,,,
7,4.0,1.0,256.0,16.0,32.0,sglang,77.07,2025-05-22 19:49:02,22959.08,3.61,6502.83,15723.29,9.36,9.77,,,,,
17,4.0,1.0,512.0,32.0,64.0,sglang,65.54,2025-05-22 20:01:13,16996.15,5.75,10645.02,9060.24,9.79,9.77,,,,,
14,4.0,1.0,512.0,16.0,64.0,sglang,64.47,2025-05-22 19:57:50,16832.53,5.75,10428.9,8833.08,10.32,10.43,,,,,
21,,,,,,llama_cpp,287.38,2025-05-22 20:14:27,134089.3,0.42,754.47,124796.26,12.3,12.2,32.0,row,,,
20,,,,,,llama_cpp,373.91,2025-05-22 20:08:13,177501.97,0.37,679.92,166869.78,13.24,13.02,32.0,layer,,,
19,,,,,,llama_cpp,285.9,2025-05-22 20:03:27,129093.21,0.4,700.23,119240.11,13.43,13.42,32.0,none,,,
18,4.0,1.0,512.0,32.0,128.0,sglang,68.3,2025-05-22 20:02:19,17413.13,6.79,12387.46,6760.26,13.47,14.45,,,,,
15,4.0,1.0,512.0,16.0,128.0,sglang,67.75,2025-05-22 19:58:55,16907.22,6.95,12631.94,6229.51,13.61,14.39,,,,,
1,4.0,1.0,128.0,16.0,32.0,sglang,92.44,2025-05-22 19:39:39,34100.54,2.5,4479.27,23635.89,13.75,15.47,,,,,
11,4.0,1.0,256.0,32.0,64.0,sglang,74.51,2025-05-22 19:54:08,24139.27,4.13,7530.77,13222.08,13.96,14.7,,,,,
4,4.0,1.0,128.0,32.0,32.0,sglang,95.85,2025-05-22 19:44:19,36203.4,2.38,4269.71,25455.79,14.07,17.0,,,,,
8,4.0,1.0,256.0,16.0,64.0,sglang,74.35,2025-05-22 19:50:20,25503.83,3.97,7293.18,14272.15,14.08,87.63,,,,,
9,4.0,1.0,256.0,16.0,128.0,sglang,76.15,2025-05-22 19:51:34,24871.9,4.83,8719.68,10392.93,18.58,25.63,,,,,
12,4.0,1.0,256.0,32.0,128.0,sglang,76.58,2025-05-22 19:55:23,25686.31,4.7,8534.22,11038.23,18.71,29.04,,,,,
55,4.0,1.0,,,,vllm,569.44,2025-05-23 01:33:26,265598.48,0.25,460.34,249815.27,18.87,18.9,,,64.0,1024.0,256.0
48,4.0,1.0,,,,vllm,545.88,2025-05-23 00:28:35,250909.44,0.26,474.25,235598.28,18.92,18.94,,,32.0,1024.0,128.0
51,4.0,1.0,,,,vllm,535.78,2025-05-23 00:56:21,244395.57,0.26,474.28,229700.82,19.15,19.17,,,32.0,2048.0,256.0
50,4.0,1.0,,,,vllm,559.88,2025-05-23 00:47:00,252882.42,0.25,462.17,237300.33,19.25,19.28,,,32.0,2048.0,128.0
52,4.0,1.0,,,,vllm,558.19,2025-05-23 01:05:17,257305.07,0.25,462.02,241798.62,19.28,19.3,,,64.0,512.0,128.0
53,4.0,1.0,,,,vllm,561.42,2025-05-23 01:14:35,258100.26,0.25,461.75,242395.88,19.3,19.32,,,64.0,512.0,256.0
